1,able,adj.,能;有能力的
1,above,adj.,"上文的,前述的"
1,adult,adj.,成年的;成熟的;色情的
1,afraid,adj.,害怕
1,all,adj.,所有的;全部
1,alone,adj.,單獨的;孤單的
1,angry,adj.,生氣的
1,another,adj.,另一個
1,any,adj.,任何的
1,back,adj.,後面的;拖欠的;過去的
1,bad,adj.,壞的
1,basic,adj.,基本的
1,beautiful,adj.,漂亮的
1,best,adj.,最好的;最熟練的;最適當的
1,better,adj.,較佳的;更好的;更適當的
1,big,adj.,大的
1,black,adj.,黑色的
1,blue,adj.,藍色的
1,born,adj.,出生的;誕生的
1,both,adj.,兩者
1,bottom,adj.,"最低的;最後的,最下的"
1,brave,adj.,勇敢的
1,bright,adj.,光亮的
1,brown,adj.,褐色的;棕色的
1,busy,adj.,忙碌的
1,careful,adj.,小心的
1,certain,adj.,肯定的
1,chief,adj.,為首的;主要的
1,clean,adj.,乾淨的
1,clear,adj.,清楚的;晴朗的
1,close,adj.,近的;密切的
1,cold,adj.,寒冷的
1,common,adj.,常見的
1,cool,adj.,涼快的;很棒的;酷
1,correct,adj.,正確的
1,cute,adj.,可愛的
1,dark,adj.,黑暗的
1,dead,adj.,死的
1,dear,adj.,親愛的
1,deep,adj.,深的
1,different,adj.,不同的
1,difficult,adj.,困難的
1,direct,adj.,直接的
1,dirty,adj.,骯髒的
1,down,adj.,"情緒低落,消沈;(分期付款的)第一期的"
1,downstairs,adj.,樓下的
1,dry,adj.,乾的
1,each,adj.,每個
1,early,adj.,早的;提早的
1,east,adj.,東方的
1,easy,adj.,容易的
1,eight,adj.,八的
1,eighteen,adj.,十八的
1,eighty,adj.,八十的
1,either,adj.,兩者之一
1,eleven,adj.,十一的
1,English,adj.,英格蘭的;英國的;英國人的;英語的
1,enough,adj.,足夠的
1,equal,adj.,相等的; 平等的
1,even,adj.,均勻的;偶數的;平手的
1,every,adj.,每一個的
1,false,adj.,假的
1,far,adj.,遠的
1,fast,adj.,快的
1,fat,adj.,胖的
1,few,adj.,少數的;一些
1,fifteen,adj.,十五的
1,fifty,adj.,五十的
1,final,adj.,最終的
1,fine,adj.,好的
1,first,adj.,第一的
1,five,adj.,五的
1,foreign,adj.,"外國的,陌生的,外來的"
1,forty,adj.,四十的
1,four,adj.,四的
1,fourteen,adj.,十四的
1,free,adj.,空閒的;自由的;免費的
1,fresh,adj.,新鮮的
1,front,adj.,前面的;正面的
1,full,adj.,飽的;滿的
1,funny,adj.,可笑的;滑稽的
1,general,adj.,普遍的
1,glad,adj.,高興的
1,gold,adj.,金製的
1,good,adj.,好的
1,grand,adj.,雄偉的;總的
1,gray,adj.,灰色的
1,great,adj.,很棒;大的
1,green,adj.,綠色的
1,grey,adj.,灰色的
1,half,adj.,"一半的,二分之一的;不完整的"
1,happy,adj.,快樂的
1,hard,adj.,硬的;難的
1,heavy,adj.,重的
1,high,adj.,高的
1,home,adj.,家庭的;國內的
1,hot,adj.,熱的
1,huge,adj.,巨大的
1,human,adj.,人類的
1,hundred,adj.,一百的
1,hungry,adj.,飢餓的
1,important,adj.,重要的
1,in,adj.,在裡面的
1,inside,adj.,"裡面的,內側的;內幕的"
1,iron,adj.,鐵的;剛強的;殘酷的
1,just,adj.,正直的;公平的;應得的;正確的
1,key,adj.,"重要的,基本的,關鍵的"
1,kind,adj.,仁慈的
1,large,adj.,大的
1,last,adj.,最後的
1,late,adj.,晚的;遲的
1,lazy,adj.,懶惰的
1,least,adj.,最小的;最少的;最不重要的
1,left,adj.,左邊的
1,less,adj.,較少的
1,level,adj.,"水平的,平的;筆直的"
1,light,adj.,輕的
1,likely,adj.,有可能的
1,little,adj.,很少的
1,live,adj.,"活的,有生命的;燃著的;實況播送的"
1,long,adj.,長的
1,loud,adj.,大聲的
1,low,adj.,低的;矮的
1,lucky,adj.,幸運的
1,mad,adj.,發火;發瘋;發狂的
1,many,adj.,很多的
1,mean,adj.,兇的;吝嗇的
1,middle,adj.,中間的
1,more,adj.,更多的
1,most,adj.,最多的;大部分的
1,much,adj.,很多的
1,near,adj.,近的
1,new,adj.,新的
1,next,adj.,下一個
1,nice,adj.,好的
1,nine,adj.,九的
1,nineteen,adj.,十九的
1,ninety,adj.,九十的
1,no,adj.,沒有;不
1,noisy,adj.,喧鬧的
1,north,adj.,北方的
1,O.K.,adj.,
1,off,adj.,離去的;偏離的;休假的;關著的
1,OK,adj.,好吧
1,okay,adj.,對;可以;不錯
1,old,adj.,年老的
1,one,adj.,一個的
1,open,adj.,打開的;空曠的;未定的;營業的;公開的
1,orange,adj.,橙色的
1,other,adj.,其他的
1,out,adj.,在外的
1,outside,adj.,"外邊的,外部的"
1,own,adj.,自己的
1,past,adj.,過去的
1,poor,adj.,貧窮的
1,possible,adj.,可能的
1,pretty,adj.,漂亮的
